comm_id,client_pin,comm_date,comm_type,channel,offer_id,success
h-00001,30001,2025-01-16,sms_cashback,sms,CASHBACK_5,0
h-00002,30001,2025-02-02,push_cashback,push,CASHBACK_5,0
h-00003,30001,2025-02-10,push_cashback,push,CASHBACK_5,0
h-00004,30001,2025-02-19,sms_cashback,sms,CASHBACK_5,0
h-00005,30001,2025-03-14,push_credit,push,CC_LIMIT,1
h-00006,30001,2025-03-31,email_cashback,email,CASHBACK_5,0
h-00007,30001,2025-04-22,sms_cashback,sms,CASHBACK_5,1
h-00008,30001,2025-05-02,sms_refinance,sms,REFIN_12,0
h-00009,30001,2025-05-20,call_collect,call,COLLECT_01,0
h-00010,30001,2025-05-29,sms_cashback,sms,CASHBACK_5,0
h-00011,30001,2025-06-13,push_cashback,push,CASHBACK_5,0
h-00012,30001,2025-07-07,push_cashback,push,CASHBACK_5,0
h-00013,30001,2025-08-03,email_cashback,email,CASHBACK_5,0
h-00014,30001,2025-08-17,push_cashback,push,CASHBACK_5,0
h-00015,30001,2025-08-29,sms_refinance,sms,REFIN_12,0
h-00016,30001,2025-09-10,call_collect,call,COLLECT_01,1
h-00017,30001,2025-09-30,sms_cashback,sms,CASHBACK_5,1
h-00018,30002,2025-01-18,sms_cashback,sms,CASHBACK_5,0
h-00019,30002,2025-02-08,push_service,push,PUSH_ON,0
h-00020,30002,2025-02-16,push_service,push,PUSH_ON,0
h-00021,30002,2025-03-08,sms_cashback,sms,CASHBACK_5,0
h-00022,30002,2025-03-26,push_service,push,PUSH_ON,1
h-00023,30002,2025-04-19,push_service,push,PUSH_ON,0
h-00024,30002,2025-05-07,sms_refinance,sms,REFIN_12,1
h-00025,30002,2025-05-27,push_cashback,push,CASHBACK_5,0
h-00026,30002,2025-06-09,sms_cashback,sms,CASHBACK_5,0
h-00027,30002,2025-06-19,push_cashback,push,CASHBACK_5,1
h-00028,30002,2025-07-04,call_collect,call,COLLECT_01,0
h-00029,30002,2025-07-30,sms_cashback,sms,CASHBACK_5,0
h-00030,30002,2025-08-27,push_cashback,push,CASHBACK_5,0
h-00031,30002,2025-09-21,sms_refinance,sms,REFIN_12,0
h-00032,30002,2025-10-14,email_cashback,email,CASHBACK_5,0
h-00033,30002,2025-11-04,sms_refinance,sms,REFIN_12,0
h-00034,30002,2025-11-24,sms_refinance,sms,REFIN_12,0
h-00035,30002,2025-12-12,sms_cashback,sms,CASHBACK_5,0
h-00036,30002,2026-01-08,push_service,push,PUSH_ON,0
