comm_id,client_pin,comm_date,comm_type,channel,offer_id,success
h-00211,30011,2025-01-21,call_collect,call,COLLECT_01,0
h-00212,30011,2025-02-04,push_cashback,push,CASHBACK_5,0
h-00213,30011,2025-02-22,push_cashback,push,CASHBACK_5,1
h-00214,30011,2025-03-06,push_credit,push,CC_LIMIT,0
h-00215,30011,2025-03-21,sms_refinance,sms,REFIN_12,0
h-00216,30011,2025-03-29,call_collect,call,COLLECT_01,0
h-00217,30011,2025-04-15,push_service,push,PUSH_ON,1
h-00218,30011,2025-04-23,push_credit,push,CC_LIMIT,0
h-00219,30011,2025-05-08,sms_refinance,sms,REFIN_12,0
h-00220,30011,2025-05-16,call_collect,call,COLLECT_01,1
h-00221,30011,2025-06-04,push_cashback,push,CASHBACK_5,0
h-00222,30011,2025-06-15,call_collect,call,COLLECT_01,0
h-00223,30011,2025-06-29,call_collect,call,COLLECT_01,0
h-00224,30011,2025-07-08,call_collect,call,COLLECT_01,0
h-00225,30011,2025-07-18,push_service,push,PUSH_ON,1
h-00226,30011,2025-08-11,push_cashback,push,CASHBACK_5,0
h-00227,30011,2025-09-04,call_collect,call,COLLECT_01,0
h-00228,30011,2025-09-22,sms_refinance,sms,REFIN_12,1
h-00229,30011,2025-10-20,sms_refinance,sms,REFIN_12,0
h-00230,30011,2025-11-15,push_cashback,push,CASHBACK_5,0
h-04392,30011,2026-09-05,push_cashback,push,CASHBACK_5,0
h-04393,30011,2026-09-01,sms_refinance,sms,REFIN_12,1
